user_id,utc_date,model,api_key,type,price($/token),amount,description
2000000000985175,2026-07-14,LongCat-2.0,ak_2****1g0N,Paid_token_pack_input_cache_hit_tokens,0,23907840,"Paid Token Pack usage, unit price 0."
2000000000985175,2026-07-14,LongCat-2.0,ak_2****1g0N,Paid_token_pack_input_cache_miss_tokens,-,1018853,"Paid Token Pack usage,not billed, stats only."
2000000000985175,2026-07-14,LongCat-2.0,ak_2****1g0N,Paid_token_pack_output_tokens,-,184901,"Paid Token Pack usage,not billed, stats only."
2000000000985175,2026-07-14,LongCat-2.0,ak_2****1g0N,Paid_token_pack_request_count,-,507,"Paid Token Pack usage,not billed, stats only."
2000000000985175,2026-07-15,LongCat-2.0,ak_2****1g0N,Paid_token_pack_input_cache_hit_tokens,0,56090496,
2000000000985175,2026-07-15,LongCat-2.0,ak_2****1g0N,Paid_token_pack_input_cache_miss_tokens,-,1501010,
2000000000985175,2026-07-15,LongCat-2.0,ak_2****1g0N,Paid_token_pack_output_tokens,-,415879,
2000000000985175,2026-07-15,LongCat-2.0,ak_2****1g0N,Paid_token_pack_request_count,-,1061,
2000000000985175,2026-07-16,LongCat-2.0,ak_2****1g0N,Paid_token_pack_input_cache_hit_tokens,0,33725312,
2000000000985175,2026-07-16,LongCat-2.0,ak_2****1g0N,Paid_token_pack_input_cache_miss_tokens,-,1395617,
2000000000985175,2026-07-16,LongCat-2.0,ak_2****1g0N,Paid_token_pack_output_tokens,-,351012,
2000000000985175,2026-07-16,LongCat-2.0,ak_2****1g0N,Paid_token_pack_request_count,-,707,
2000000000985175,2026-07-17,LongCat-2.0,ak_2****1g0N,Paid_token_pack_input_cache_hit_tokens,0,4753152,
2000000000985175,2026-07-17,LongCat-2.0,ak_2****1g0N,Paid_token_pack_input_cache_miss_tokens,-,226730,
2000000000985175,2026-07-17,LongCat-2.0,ak_2****1g0N,Paid_token_pack_output_tokens,-,28536,
2000000000985175,2026-07-17,LongCat-2.0,ak_2****1g0N,Paid_token_pack_request_count,-,44,
2000000000985175,2026-07-18,LongCat-2.0,ak_2****1g0N,Paid_token_pack_input_cache_hit_tokens,0,132365952,
2000000000985175,2026-07-18,LongCat-2.0,ak_2****1g0N,Paid_token_pack_input_cache_miss_tokens,-,3712447,
2000000000985175,2026-07-18,LongCat-2.0,ak_2****1g0N,Paid_token_pack_output_tokens,-,779150,
2000000000985175,2026-07-18,LongCat-2.0,ak_2****1g0N,Paid_token_pack_request_count,-,1163,
2000000000985175,2026-07-20,LongCat-2.0,ak_2****1g0N,Paid_token_pack_input_cache_hit_tokens,0,229562368,
2000000000985175,2026-07-20,LongCat-2.0,ak_2****1g0N,Paid_token_pack_input_cache_miss_tokens,-,1238923,
2000000000985175,2026-07-20,LongCat-2.0,ak_2****1g0N,Paid_token_pack_output_tokens,-,402787,
2000000000985175,2026-07-20,LongCat-2.0,ak_2****1g0N,Paid_token_pack_request_count,-,1010,
